qc_id,objectid,region_nam,parent_cod,district,code,mahalla_no,shape_leng,shape_area,mfy_id,social_dat,social_d_1,social_d_2,social_d_3,social_d_4,social_d_5,social_d_6,social_d_7,social_d_8,social_d_9,social_d10,social_d11,social_d12,social_d13,population,area,density,NDVI_mean,NDVI_mean_1
225,662,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,Aydinjol MFY,0.074800124,0.00032312,23070002,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,АЙДЫН ЖОЛ,1735,1735230,488,417,876,358,28,21,81,212,176,"1,192",2925708.251,4.07E-07,2570.662109,0.257066211
226,663,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,Taxtakupir ShFY,0.100421702,0.000369668,23070016,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,ТАХТАКОПИР ПОСEЛКАСИ,1735,1735230,567,500,"1,058",443,17,20,107,208,263,"1,392",3347874.364,4.16E-07,2650.102295,0.265010229
227,664,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,Dauir MFY,0.086206631,0.000248614,23070006,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,ДАУИР,1735,1735230,509,419,921,330,20,18,69,189,295,"1,227",2251563.179,5.45E-07,2675.528076,0.267552808
228,665,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,A.Adilov OFY,0.589523045,0.012528283,23070001,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,А.АДИЛОВ,1735,1735230,372,339,642,236,17,11,54,178,146,877,113415807.1,7.73E-06,2695.276611,0.269527661
229,666,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,Qarateren MFY,0.297319317,0.001339584,23070010,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,КАРАТЭРEН,1735,1735230,201,168,343,95,3,5,39,142,59,484,12106022.95,4.00E-05,2653.309326,0.265330933
230,667,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,Dawqara OFY,0.982535188,0.013458449,23070008,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,ДАУКАРА,1735,1735230,373,329,730,233,6,13,44,193,241,964,121643385.5,7.92E-06,2612.279785,0.261227979
231,668,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,Beltaw OFY,0.565249597,0.011690999,23070004,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,БEЛТАУ,1735,1735230,120,112,235,100,3,6,12,58,56,310,105670850.1,2.93E-06,2138.19751,0.213819751
236,673,Qoraqalpog'iston Respublikasi,1735,Taxtako`pir tumani,1735230,Marjankul MFY,0.531452174,0.013150332,23070014,QORAQALPOG'ISTON RESPUBLIKASI,Taxtako'pir tuman,МАРЖАНКОЛ,1735,1735230,79,68,127,55,2,4,12,36,18,176,119340590.2,1.47E-06,1607.624146,0.160762415
238,675,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Quyashli MFY,0.047814021,0.000118613,23040013,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,КУяШЛЫ,1735,1735212,398,337,663,195,10,18,91,100,249,910,1079950.324,0.000842631,2641.982422,0.264198242
239,676,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Janabazar OFY,0.592471789,0.013002741,23040007,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,ЖАНАБАЗАР,1735,1735212,626,577,"1,009",279,32,11,89,324,274,"1,386",118289636.9,1.17E-08,2810.930908,0.281093091
240,677,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Аqtuba OFY,0.793063908,0.016868271,23040003,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,АКТУБА,1735,1735212,"1,011",916,"1,649",423,24,31,184,401,586,"2,253",153271325.5,1.47E-08,2675.89917,0.267589917
283,720,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,Jiydeli baysin MFY,0.062402131,0.000135499,23170029,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,39-ЖИЙДEЛИ БАЙСЫН,1735,1735401,763,672,"1,306",347,3,29,94,98,735,"1,822",1238312.035,1.47E-06,1377.764648,0.137776465
241,678,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Madeniyat MFY,0.084438853,0.00012742,23040014,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,МАДEНИяТ,1735,1735212,439,400,606,269,9,4,83,72,169,911,1158420.94,0.000786415,2484.530029,0.248453003
242,679,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Nurli bostan MFY,0.072645468,0.000141764,23040015,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,НУРЛЫ БОСТАН,1735,1735212,284,248,451,150,10,9,59,59,164,656,1288945.134,0.000508943,2459.865967,0.245986597
243,680,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Аbat makan MFY,0.070306293,0.000193206,23040001,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,АБАТ МАКАН,1735,1735212,474,419,755,232,10,27,108,149,229,"1,034",1756664.522,5.89E-07,2600.308838,0.260030884
244,681,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Jiluan jap MFY,0.094411613,0.000215075,23040009,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,ЖЫЛУАН ЖАП,1735,1735212,598,541,998,318,10,15,121,216,318,"1,377",1955069.015,7.04E-07,2402.791992,0.240279199
245,682,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Qumshungul OFY,0.624548209,0.012431558,23040012,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,ҚумШУНГУЛ,1735,1735212,788,734,"1,339",346,8,35,149,374,427,"1,786",113057754.7,1.58E-08,2912.585693,0.291258569
246,683,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Iyshan kala OFY,0.642016374,0.009451138,23040010,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,ИЙШАН КАЛА ОФЙ,1735,1735212,675,630,"1,114",308,25,22,136,322,301,"1,516",86066487.2,1.76E-08,2724.348633,0.272434863
247,684,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Gujim terek MFY,0.078730548,0.000250007,23040005,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,ГУЖИМ ТEРEК,1735,1735212,593,550,"1,067",255,11,19,169,186,427,"1,436",2275633.931,6.31E-07,2402.821533,0.240282153
284,721,Qoraqalpog'iston Respublikasi,1735,Nukus shahar,1735401,El abad MFY,0.030804892,5.05E-05,23170025,QORAQALPOG'ISTON RESPUBLIKASI,NUKUS shahar,15-ЭЛИ АБАТ,1735,1735401,490,381,636,190,7,31,59,9,340,999,461667.1766,0.002163897,1691.726807,0.169172681
249,686,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Xalqabad MFY,0.053201791,0.000126144,23040016,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,ХАЛКАБАД,1735,1735212,331,295,567,191,9,10,95,100,162,796,1148362.16,0.000693161,2558.689209,0.255868921
250,687,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Kok uzak OFY,0.690384759,0.018388777,23040017,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,КОҚ-ОЗEК,1735,1735212,402,355,676,136,21,5,34,241,239,894,167424386.3,5.34E-06,2407.273926,0.240727393
251,688,Qoraqalpog'iston Respublikasi,1735,Kegeyli tumani,1735212,Juzim bag OFY,0.4864605,0.007152608,23040008,QORAQALPOG'ISTON RESPUBLIKASI,KEGEYLI tuman,ЖУЗИМ БАГ,1735,1735212,544,493,948,263,37,16,76,270,286,"1,295",65184954.83,1.99E-08,2750.178955,0.275017896
